event_uid,event_name,event_date,snapshot_kind,requested_snapshot,actual_snapshot,event_start_utc,status,matched_fights,quote_rows,response_sha256,response_file,requests_remaining,requests_used,requests_last
4be164dafaca4256fa46,UFC Fight Night: Emmett vs. Murphy,2025-04-05,close,2025-04-05T21:45:00+00:00,2025-04-05 21:40:38+00:00,2025-04-05T22:00:00+00:00,ok,11,88,17dc2eb980136718965532984006c2275d1757e93eeebb857a65b631de31b5a5,raw/odds_totals/responses/4be164dafaca4256fa46__close__2025-04-05T21-40-38Z.json.gz,4204672,795328,40
5be9fe2d5104d5bb184a,UFC 314: Volkanovski vs. Lopes,2025-04-12,discovery_72h,2025-04-09T00:00:00+00:00,2025-04-08 23:55:39+00:00,2025-04-12T22:00:00+00:00,ok,10,28,399c69db8c423a6673ea8f753f351d068cc85856d15126a52ed11aadb5c70334,raw/odds_totals/responses/5be9fe2d5104d5bb184a__discovery_72h__2025-04-08T23-55-39Z.json.gz,4204632,795368,40
5be9fe2d5104d5bb184a,UFC 314: Volkanovski vs. Lopes,2025-04-12,entry,2025-04-11T22:00:00+00:00,2025-04-11 21:55:39+00:00,2025-04-12T22:00:00+00:00,ok,10,66,fa7ededc3b0a2836a7efde83987251ffb4b2be12659daf6a534678b6de3d3b72,raw/odds_totals/responses/5be9fe2d5104d5bb184a__entry__2025-04-11T21-55-39Z.json.gz,4204592,795408,40
5be9fe2d5104d5bb184a,UFC 314: Volkanovski vs. Lopes,2025-04-12,close,2025-04-12T21:45:00+00:00,2025-04-12 21:40:38+00:00,2025-04-12T22:00:00+00:00,ok,10,65,35e0a0b1df2112a2523ba707dda0902c27560c820b3f4b2563d3fbe81ab2ff0c,raw/odds_totals/responses/5be9fe2d5104d5bb184a__close__2025-04-12T21-40-38Z.json.gz,4204552,795448,40
2302fe682168fb359864,UFC Fight Night: Machado Garry vs. Prates,2025-04-26,discovery_72h,2025-04-23T00:00:00+00:00,2025-04-22 23:55:38+00:00,2025-04-26T22:00:00+00:00,ok,10,29,a114551cf09a08b1d475020412e19728dcf8f2ec711bdc2d53121bbcebbcd43d,raw/odds_totals/responses/2302fe682168fb359864__discovery_72h__2025-04-22T23-55-38Z.json.gz,4204482,795518,40
2302fe682168fb359864,UFC Fight Night: Machado Garry vs. Prates,2025-04-26,entry,2025-04-25T22:00:00+00:00,2025-04-25 21:55:38+00:00,2025-04-26T22:00:00+00:00,ok,10,80,841c676cbe26311bfc4cea6042c5c809bac23e6338af46e7ab39f69084d95d5e,raw/odds_totals/responses/2302fe682168fb359864__entry__2025-04-25T21-55-38Z.json.gz,4204412,795588,40
2302fe682168fb359864,UFC Fight Night: Machado Garry vs. Prates,2025-04-26,close,2025-04-26T21:45:00+00:00,2025-04-26 21:40:38+00:00,2025-04-26T22:00:00+00:00,ok,10,80,06e13bd0826d985f5ec35ab0f57f4658435ac8ca61f8ac231cb722d350727bf7,raw/odds_totals/responses/2302fe682168fb359864__close__2025-04-26T21-40-38Z.json.gz,4204372,795628,40
6894093898ae5c2c6d98,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,discovery_72h,2025-04-30T00:00:00+00:00,2025-04-29 23:55:38+00:00,2025-05-03T23:15:00+00:00,ok,12,55,893ff5c39a23336d449323104979729983ca2d4f229e4cba701543942869ab85,raw/odds_totals/responses/6894093898ae5c2c6d98__discovery_72h__2025-04-29T23-55-38Z.json.gz,4204302,795698,40
6894093898ae5c2c6d98,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,entry,2025-05-02T23:15:00+00:00,2025-05-02 23:10:38+00:00,2025-05-03T23:15:00+00:00,ok,12,96,a75921143389eac643a25b67e3edab5f6ea26b2e8db6fdfa39371f13f67bfce6,raw/odds_totals/responses/6894093898ae5c2c6d98__entry__2025-05-02T23-10-38Z.json.gz,4204232,795768,40
6894093898ae5c2c6d98,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,close,2025-05-03T23:00:00+00:00,2025-05-03 22:55:38+00:00,2025-05-03T23:15:00+00:00,ok,12,96,b432df84f34dfa93f86a460296caf787c6a082f30dab994bbfa3c8a3741e260d,raw/odds_totals/responses/6894093898ae5c2c6d98__close__2025-05-03T22-55-38Z.json.gz,4204162,795838,40
ff836678bc79b3a975e5,UFC 315: Muhammad vs. Della Maddalena,2025-05-10,discovery_72h,2025-05-07T00:00:00+00:00,2025-05-06 23:55:38+00:00,2025-05-10T20:00:00+00:00,ok,10,53,67752bb0b73a4bc5ee6cf26a2f49d3957cdda021e7fe0671845bcf52aa89872f,raw/odds_totals/responses/ff836678bc79b3a975e5__discovery_72h__2025-05-06T23-55-38Z.json.gz,4204122,795878,40
ff836678bc79b3a975e5,UFC 315: Muhammad vs. Della Maddalena,2025-05-10,entry,2025-05-09T20:00:00+00:00,2025-05-09 19:55:38+00:00,2025-05-10T20:00:00+00:00,ok,10,69,e0f1299c7917191fc2e97397dca33d8b22f9c8b5cfaeb9b263763dd305796877,raw/odds_totals/responses/ff836678bc79b3a975e5__entry__2025-05-09T19-55-38Z.json.gz,4204052,795948,40
ff836678bc79b3a975e5,UFC 315: Muhammad vs. Della Maddalena,2025-05-10,close,2025-05-10T19:45:00+00:00,2025-05-10 19:40:38+00:00,2025-05-10T20:00:00+00:00,ok,10,69,9910c64720be174ac13014775e5a3e36b0191c79749b2779e86f02e4fea71f95,raw/odds_totals/responses/ff836678bc79b3a975e5__close__2025-05-10T19-40-38Z.json.gz,4203982,796018,40
e2d2863a3a8307746378,UFC Fight Night: Burns vs. Morales,2025-05-17,discovery_72h,2025-05-14T00:00:00+00:00,2025-05-13 23:55:38+00:00,2025-05-17T20:00:00+00:00,ok,7,39,ab06aaa106c08f81e2341afb7cd70f4824e4aa9a3fce2fdc78332449d65fed5d,raw/odds_totals/responses/e2d2863a3a8307746378__discovery_72h__2025-05-13T23-55-38Z.json.gz,4203942,796058,40
e2d2863a3a8307746378,UFC Fight Night: Burns vs. Morales,2025-05-17,entry,2025-05-16T20:00:00+00:00,2025-05-16 19:55:38+00:00,2025-05-17T20:00:00+00:00,ok,7,49,f9355bba7ef1a91adcd4beea147a03dc62e98292436eac206b81f52fd0d059a6,raw/odds_totals/responses/e2d2863a3a8307746378__entry__2025-05-16T19-55-38Z.json.gz,4203872,796128,40
e2d2863a3a8307746378,UFC Fight Night: Burns vs. Morales,2025-05-17,close,2025-05-17T19:45:00+00:00,2025-05-17 19:40:37+00:00,2025-05-17T20:00:00+00:00,ok,7,49,c13aeb576f633b1d7c8fba2b1a2caa78ad97d6bed63029bba41ac118f9aadab6,raw/odds_totals/responses/e2d2863a3a8307746378__close__2025-05-17T19-40-37Z.json.gz,4203802,796198,40
b200ea1d01b8fe218ce4,UFC Fight Night: Blanchfield vs. Barber,2025-05-31,discovery_72h,2025-05-28T00:00:00+00:00,2025-05-27 23:55:38+00:00,2025-05-31T22:15:00+00:00,ok,6,36,69f5709972d91f968555d29acc2a1a27188ab79c9a543a81f74aefc35acd612c,raw/odds_totals/responses/b200ea1d01b8fe218ce4__discovery_72h__2025-05-27T23-55-38Z.json.gz,4203762,796238,40
b200ea1d01b8fe218ce4,UFC Fight Night: Blanchfield vs. Barber,2025-05-31,entry,2025-05-30T22:15:00+00:00,2025-05-30 22:10:37+00:00,2025-05-31T22:15:00+00:00,ok,6,47,dfe67e5cfdcbaf8b7d66fef3bab7e6802c4228eca6ce5fb36db05feac6ff0581,raw/odds_totals/responses/b200ea1d01b8fe218ce4__entry__2025-05-30T22-10-37Z.json.gz,4203722,796278,40
b200ea1d01b8fe218ce4,UFC Fight Night: Blanchfield vs. Barber,2025-05-31,close,2025-05-31T22:00:00+00:00,2025-05-31 21:55:37+00:00,2025-05-31T22:15:00+00:00,ok,6,47,40adf40dbcc557e371707311976be0ff6a062f447193e53e753703eaba7478bc,raw/odds_totals/responses/b200ea1d01b8fe218ce4__close__2025-05-31T21-55-37Z.json.gz,4203682,796318,40
078c24b012c9e1111e8b,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,discovery_72h,2025-06-04T00:00:00+00:00,2025-06-03 23:55:37+00:00,2025-06-07T22:00:00+00:00,ok,8,34,28ea76b9e269eb9a4b467c19717b7c6c3fddfc6dbc3832f6935cea72f6806425,raw/odds_totals/responses/078c24b012c9e1111e8b__discovery_72h__2025-06-03T23-55-37Z.json.gz,4203642,796358,40
078c24b012c9e1111e8b,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,entry,2025-06-06T22:00:00+00:00,2025-06-06 21:55:37+00:00,2025-06-07T22:00:00+00:00,ok,8,48,986e4a276547e1353feaf8c881e62dfa5a08a67c29d7dcdafa3b03fe0579a027,raw/odds_totals/responses/078c24b012c9e1111e8b__entry__2025-06-06T21-55-37Z.json.gz,4203602,796398,40
078c24b012c9e1111e8b,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,close,2025-06-07T21:45:00+00:00,2025-06-07 21:40:37+00:00,2025-06-07T22:00:00+00:00,ok,7,48,a46310d40a5e7f1fdc6cfb97669b2ed96964d98a7201b22562266d5b035c4806,raw/odds_totals/responses/078c24b012c9e1111e8b__close__2025-06-07T21-40-37Z.json.gz,4203562,796438,40
7a705481ecec1cbdc372,UFC Fight Night: Usman vs. Buckley,2025-06-14,discovery_72h,2025-06-11T00:00:00+00:00,2025-06-10 23:55:37+00:00,2025-06-14T23:00:00+00:00,ok,11,67,8aac350b7e749b4019f30ffaa7b1206698864bb98c61927f9627f98ff2a2ed76,raw/odds_totals/responses/7a705481ecec1cbdc372__discovery_72h__2025-06-10T23-55-37Z.json.gz,4203522,796478,40
7a705481ecec1cbdc372,UFC Fight Night: Usman vs. Buckley,2025-06-14,entry,2025-06-13T23:00:00+00:00,2025-06-13 22:55:37+00:00,2025-06-14T23:00:00+00:00,ok,11,85,78eb7925510686900e8dca482310d34809f5d20cb4d736dc0540f704e25158eb,raw/odds_totals/responses/7a705481ecec1cbdc372__entry__2025-06-13T22-55-37Z.json.gz,4203482,796518,40
7a705481ecec1cbdc372,UFC Fight Night: Usman vs. Buckley,2025-06-14,close,2025-06-14T22:45:00+00:00,2025-06-14 22:40:37+00:00,2025-06-14T23:00:00+00:00,ok,11,86,0d6f80268c5915ec0c4f461fd834ccf838bedde6287a1597a81ef17626cf5760,raw/odds_totals/responses/7a705481ecec1cbdc372__close__2025-06-14T22-40-37Z.json.gz,4203442,796558,40
