date,fighter_a,fighter_b,pre_prob,pre_books,pre_hours,post_prob,post_books,post_hours,move_points,abs_move,missed_weight
2026-08-01,Marina Spasić,Stephanie Luciano,0.2787456445993032,7,71.48083333333334,0.2620193772469685,7,14.405416666666667,-1.6726267352334678,1.6726267352334678,
2026-08-09,Darren Elkins,Yadier DelValle,0.1599999999999999,7,105.34944444444444,0.14344169945887375,20,24.752916666666668,-1.6558300541126143,1.6558300541126143,
2026-08-07,Eduardo Neves,Maxwell Djantou Nana,0.43573719117261606,2,43.49111111111111,0.4201680672268907,3,15.404166666666667,-1.556912394572535,1.556912394572535,
2026-08-08,Giovanna Canuto,Carol Foro,0.298531547522995,7,44.91166666666667,0.3129541624686823,16,22.525,1.4422614945687307,1.4422614945687307,
2026-08-09,Amanda Lemos,Alexia Thainara,0.3181818181818181,8,105.34944444444444,0.3053435114503817,20,26.108333333333334,-1.2838306731436433,1.2838306731436433,
2026-08-01,Dennis Buzukja,Bogdan Grad,0.355270821199767,8,78.78986111111112,0.3654694391934467,8,9.56,1.0198617993679715,1.0198617993679715,
2026-08-08,Manoel Sousa,Richie Miranda,0.7135512302607419,8,55.84444444444444,0.7233580373115257,16,23.775,0.980680705078385,0.980680705078385,
2026-08-01,Aleksandar Rakic,Marcin Tybura,0.7446808510638298,8,78.78986111111112,0.7535269719803497,8,12.56,0.8846120916519928,0.8846120916519928,
2026-08-01,Miloš Janičić,Noah Gugnon,0.4891657638136511,7,74.48083333333334,0.4809829691924101,7,13.434444444444445,-0.8182794621240996,0.8182794621240996,
2026-08-01,Oban Elliott,Michael Oliveira,0.2553191489361702,8,78.78986111111112,0.2472586540528918,8,10.393333333333333,-0.8060494883278396,0.8060494883278396,
2026-07-31,Amru Magomedov,Joel Alvarez,0.910958904109589,2,55.09888888888889,0.9183376362217672,2,14.390833333333333,0.737873211217821,0.737873211217821,
2026-08-08,Diyar Nurgozhay,Bruno Lopes,0.5754599184217097,8,56.67777777777778,0.5823742190069057,15,24.608333333333334,0.6914300585195932,0.6914300585195932,
2026-08-09,Mateusz Gamrot,Quillan Salkilld,0.4361122672409113,8,105.34944444444444,0.4428236519927064,20,25.752916666666668,0.6711384751795113,0.6711384751795113,
2026-08-08,Steven Asplund,Guilherme Pat,0.7153024911032029,8,57.09444444444444,0.7212543554006969,16,25.025,0.5951864297494058,0.5951864297494058,
2026-08-08,Cheyanne Bowers,Elora Dana,0.7413839671564391,2,55.17472222222222,0.747191011235955,3,17.070833333333333,0.5807044079515933,0.5807044079515933,
2026-08-09,Carlos Diego Ferreira,Billy Quarantillo,0.6092362344582594,7,105.34944444444444,0.613913043856713,21,25.252916666666668,0.46768093984536074,0.46768093984536074,
2026-07-31,Dakota Ditcheva,Denise Kielholtz,0.940484937545922,2,55.09888888888889,0.9362188001339078,2,27.14527777777778,-0.42661374120142037,0.42661374120142037,
2026-08-01,Dusko Todorovic,Robert Valentin,0.40029920288125787,8,78.78986111111112,0.40444699321539196,8,12.06,0.4147790334134094,0.4147790334134094,
2026-08-01,Vlasto Cepo,Gilbert Urbina,0.7434402332361516,8,78.78986111111112,0.747191011235955,8,11.56,0.37507779998033897,0.37507779998033897,
2026-08-08,Juliana Miller,Ravena Oliveira,0.7214417497605768,8,55.01111111111111,0.7243866752866718,16,22.941666666666666,0.29449255260949325,0.29449255260949325,
2026-08-08,Joshua Silveira,Aaron Jeffery,0.380097678963732,2,54.639583333333334,0.37778047741800824,3,7.7575,-0.2317201545723735,0.2317201545723735,
2026-07-31,Montana De La Rosa,Tatiana Postarnakova,0.3146551724137931,2,55.09888888888889,0.3126312712254148,2,11.890833333333333,-0.20239011883783076,0.20239011883783076,
2026-08-01,Mark Vologdin,Borislav Nikolić,0.3734349155193865,7,44.8125,0.371699564214304,7,23.42861111111111,-0.1735351305082511,0.1735351305082511,
2026-08-01,Jan Blachowicz,Navajo Stirling,0.267175572519084,8,78.78986111111112,0.2664576802507837,8,13.06,-0.07178922683003242,0.07178922683003242,
2026-08-01,Uros Medic,Daniel Rodriguez,0.7659021045164341,7,79.48083333333334,0.7663551401869159,7,13.56,0.04530356704817162,0.04530356704817162,
