promotion,bouts,fighters,mean_rating,median_rating,p75_rating,vs_ufc,ratable
Only Men Stuff,2,4,0.2544,0.1448,0.4853,-0.2223,False
NC /,1,2,0.2535,0.2535,0.4865,-0.2232,False
Cage Conflict,9,15,0.2532,0.0943,0.8236,-0.2235,False
Katana Fight,12,18,0.2532,0.2821,0.6856,-0.2235,False
HCC,2,4,0.2528,0.3986,0.4809,-0.2239,False
Arena Surpass,2,4,0.2528,0.1812,0.7068,-0.2239,False
FCFF,19,23,0.2527,0.5416,0.748,-0.224,False
OF,1,2,0.2527,0.2527,0.3347,-0.224,False
OP,5,9,0.2526,0.0623,0.8471,-0.2241,False
Victory Fighting League,2,4,0.2524,0.1463,0.5449,-0.2243,False
Crossroads In The Fight,1,2,0.2523,0.2523,0.2861,-0.2244,False
Samurai Fight,11,17,0.252,0.1012,0.7257,-0.2247,False
Max Fight League,1,2,0.2516,0.2516,0.5115,-0.2251,False
CFC,59,88,0.2509,0.1941,0.7046,-0.2258,True
PK,3,5,0.2505,0.2354,0.7784,-0.2262,False
Iron Boy Promotions,3,6,0.2505,0.1364,0.5223,-0.2262,False
LF,5,9,0.2502,-0.0409,0.7915,-0.2265,False
ATFC,4,6,0.2502,0.3838,0.7181,-0.2265,False
Kumite MMA,2,4,0.2498,0.0335,0.4879,-0.2269,False
LFL,34,48,0.2496,0.1816,0.5879,-0.2271,True
VF,3,6,0.2495,0.2907,0.4289,-0.2272,False
TOC,15,15,0.249,0.2017,0.3543,-0.2277,False
Genesis Fights,2,3,0.2488,0.3386,0.6129,-0.2279,False
AKA,2,4,0.2488,0.2977,0.4778,-0.2279,False
DFC,4,8,0.2486,0.272,0.5231,-0.2281,False
TGC,5,10,0.2486,0.2485,0.4365,-0.2281,False
XFO,11,16,0.2485,0.4814,0.7236,-0.2282,False
GMC Fight Night,16,25,0.2479,0.1345,0.7907,-0.2288,False
Combat,16,23,0.2475,0.2351,0.4626,-0.2292,False
KOTC,122,162,0.2471,0.0725,0.6664,-0.2296,True
RFA,23,38,0.2471,0.2255,0.7236,-0.2296,False
Pinnacle FC,2,4,0.247,0.2306,0.7801,-0.2297,False
CWFL,1,2,0.2463,0.2463,0.5986,-0.2304,False
Soko FC,4,7,0.2453,0.4107,0.5032,-0.2314,False
Caged,2,4,0.245,0.2795,0.4244,-0.2317,False
Mr. Cage Championship,3,6,0.2444,0.2401,0.4777,-0.2323,False
Fury,69,92,0.2438,0.3566,0.6504,-0.2329,True
WXC,4,7,0.2436,0.1998,0.6904,-0.2331,False
Federal MMA,2,4,0.2433,0.302,0.539,-0.2334,False
Twins,2,4,0.2429,0.213,0.4528,-0.2338,False
PIF,2,3,0.2425,0.4092,0.4276,-0.2342,False
SBC,20,28,0.2421,0.3014,0.8162,-0.2346,False
AOW,31,34,0.2417,0.3575,0.5541,-0.235,True
Mix Fighter,1,2,0.2416,0.2416,0.3273,-0.2351,False
Talent MMA Circuit,3,5,0.2414,0.42,0.4404,-0.2353,False
Wocs,1,2,0.2414,0.2414,0.4975,-0.2353,False
AOS4,3,6,0.2405,0.1499,0.3072,-0.2362,False
FNS,1,2,0.2398,0.2398,0.4571,-0.2369,False
KOP,8,11,0.2395,0.2493,0.6904,-0.2372,False
Probellum MMA,3,6,0.239,0.3526,0.6634,-0.2377,False
WCSA Combat League,6,9,0.2385,0.4199,0.4362,-0.2382,False
247 FC,6,10,0.2382,0.5005,0.5562,-0.2385,False
K1EL3,1,2,0.2381,0.2381,0.4931,-0.2386,False
GF,25,34,0.2379,0.0191,0.4045,-0.2388,True
SMMAAS,1,2,0.2374,0.2374,0.4922,-0.2393,False
MP,1,2,0.2374,0.2374,0.4922,-0.2393,False
OGC,2,3,0.2357,-0.0288,0.3324,-0.241,False
Gorilas Fight,1,2,0.2357,0.2357,0.4898,-0.241,False
Bella Vista Fighter,1,2,0.2357,0.2357,0.4898,-0.241,False
PF,19,33,0.2352,0.2248,0.6157,-0.2415,False
LPM,2,3,0.2351,0.2351,0.743,-0.2416,False
Bilic-Eric Security,1,2,0.2351,0.2351,0.4891,-0.2416,False
NGFN,1,2,0.2351,0.2351,0.4891,-0.2416,False
VMMA,9,17,0.235,0.1393,0.585,-0.2417,False
WFN,3,5,0.2349,-0.0559,0.9817,-0.2418,False
EFC,69,101,0.2341,0.1,0.6244,-0.2426,True
Brothers Fight Championship,3,5,0.2338,0.0542,0.5974,-0.2429,False
West Fights,1,2,0.2333,0.2333,0.4866,-0.2434,False
EUG,1,2,0.2333,0.2333,0.4866,-0.2434,False
Ultimatum MMA,1,2,0.2333,0.2333,0.4866,-0.2434,False
PHF,1,2,0.2333,0.2333,0.4866,-0.2434,False
M-1 Fighter,2,4,0.2333,0.2089,0.5467,-0.2434,False
P5,1,2,0.2333,0.2333,0.4866,-0.2434,False
MMA Team Bariloche,1,2,0.2333,0.2333,0.4866,-0.2434,False
UFS,2,3,0.2333,0.2333,0.7399,-0.2434,False
SJSF,1,2,0.233,0.233,0.5372,-0.2437,False
R2B Combat,1,2,0.2329,0.2329,0.486,-0.2438,False
Guerra Campal,1,2,0.2329,0.2329,0.486,-0.2438,False
Master Fighters Championship,1,2,0.2329,0.2329,0.486,-0.2438,False
Ludus Magnus MMA,1,2,0.2329,0.2329,0.486,-0.2438,False
Leon Cardenas,1,2,0.2329,0.2329,0.486,-0.2438,False
TBC,5,7,0.2322,-0.1034,0.8877,-0.2445,False
WCS,3,5,0.2319,0.2864,0.6236,-0.2448,False
Campeonato Internacional de,3,4,0.2314,0.2633,0.7915,-0.2453,False
Epic Fight Night,1,2,0.2313,0.2313,0.4839,-0.2454,False
XCF,5,10,0.23,0.2958,0.5317,-0.2467,False
UFE,2,3,0.2299,0.2299,0.7341,-0.2468,False
MTE,2,4,0.2296,0.0768,0.5451,-0.2471,False
X-Combat Ultra,1,2,0.2293,0.2293,0.4812,-0.2474,False
Fight on the East,1,2,0.2286,0.2286,0.4802,-0.2481,False
PLMMA 13 / Prime,1,2,0.2286,0.2286,0.4802,-0.2481,False
DDW,1,2,0.2286,0.2286,0.4802,-0.2481,False
Tyumen MMA Federation,2,3,0.2285,0.3357,0.5485,-0.2482,False
CBFC,1,2,0.2276,0.2276,0.318,-0.2491,False
3FC,1,2,0.2276,0.2276,0.318,-0.2491,False
MEZ Sports,2,4,0.2275,0.3308,0.4972,-0.2492,False
CES,73,93,0.2274,0.2684,0.6031,-0.2493,True
PPFN,1,2,0.2268,0.2268,0.4778,-0.2499,False
Tony G Presents,1,2,0.2266,0.2266,0.4776,-0.2501,False
Throne MMA,2,3,0.2266,0.2266,0.7285,-0.2501,False
UCS,2,4,0.2264,0.2178,0.7178,-0.2503,False
BMF,3,5,0.2259,0.3906,0.474,-0.2508,False
MW,1,2,0.2255,0.2255,0.3165,-0.2512,False
XCC,7,13,0.2249,0.2862,0.5439,-0.2518,False
Tatfight,8,10,0.2246,0.4199,0.4362,-0.2521,False
BRTL,4,6,0.2243,0.2828,0.7053,-0.2524,False
Freon,13,16,0.224,0.0426,0.5405,-0.2527,False
APEX,1,2,0.2238,0.2238,0.4737,-0.2529,False
UA,1,2,0.2238,0.2238,0.4737,-0.2529,False
NMMAF,2,4,0.2238,0.1281,0.6651,-0.2529,False
Vilsao Team,1,2,0.2238,0.2238,0.4737,-0.2529,False
UCC Hawaii,1,2,0.2238,0.2238,0.4737,-0.2529,False
WFA,1,2,0.2238,0.2238,0.4737,-0.2529,False
Heat,2,3,0.2236,0.3059,0.8647,-0.2531,False
RCF,9,11,0.2235,0.4677,0.4677,-0.2532,False
SB,3,4,0.2235,0.2238,0.7236,-0.2532,False
CEF,2,4,0.223,0.3774,0.4155,-0.2537,False
PCC,2,4,0.223,0.4881,0.5195,-0.2537,False
Extreme Beatdown,2,4,0.2225,0.2183,0.3877,-0.2542,False
SMMA,29,44,0.2224,0.221,0.6451,-0.2543,True
The Cage Inc.,5,8,0.2222,0.2496,0.421,-0.2545,False
BFC,59,90,0.2221,0.2667,0.6129,-0.2546,True
TKO,10,13,0.2219,0.3961,0.5317,-0.2548,False
NMEF,5,8,0.2215,0.3129,0.6504,-0.2552,False
Thunder Fight,20,29,0.2215,0.363,0.5035,-0.2552,False
XFE MMA,1,2,0.2213,0.2213,0.4704,-0.2554,False
CDM Promotions,1,2,0.2212,0.2212,0.4702,-0.2555,False
Elevate FC,1,2,0.2212,0.2212,0.4702,-0.2555,False
GOC,1,2,0.2212,0.2212,0.3137,-0.2555,False
FITBOX Fighting Championship,1,2,0.2212,0.2212,0.3137,-0.2555,False
CN,73,81,0.221,0.1634,0.557,-0.2557,True
Lion Fight,1,2,0.2206,0.2206,0.47,-0.2561,False
PCT,1,2,0.2206,0.2206,0.4693,-0.2561,False
R1 Uzbekistan,1,2,0.2206,0.2206,0.4693,-0.2561,False
BPL,1,2,0.2206,0.2206,0.4693,-0.2561,False
MMA Berlin,6,7,0.2203,0.4721,0.701,-0.2564,False
CWM MMA,12,17,0.2203,-0.012,0.714,-0.2564,False
Dragon House MMA,14,19,0.22,0.0797,0.6313,-0.2567,False
Valiant FC,2,4,0.2188,0.176,0.3929,-0.2579,False
NAAFS,14,15,0.2186,0.3615,0.4052,-0.2581,False
SFL 30-31,1,2,0.2185,0.2185,0.3119,-0.2582,False
ECE,1,2,0.2185,0.2185,0.4666,-0.2582,False
MSZ,1,2,0.2185,0.2185,0.4666,-0.2582,False
Spartacus Fighting,1,2,0.2185,0.2185,0.4666,-0.2582,False
Castagne,1,2,0.2181,0.2181,0.466,-0.2586,False
IMBGIM,2,4,0.2179,0.3795,0.4464,-0.2588,False
WCMMA,21,27,0.2177,0.4239,0.7387,-0.259,False
OC,61,72,0.2176,0.0702,0.8634,-0.2591,True
Fightor,1,2,0.2175,0.2175,0.4109,-0.2592,False
Hendo Sports Management,3,5,0.2173,0.4138,0.4314,-0.2594,False
CAM,5,8,0.2165,0.1325,0.6746,-0.2602,False
Real Fight Arena,40,53,0.2164,0.1979,0.5868,-0.2603,True
MFL,14,21,0.2162,0.0978,0.6764,-0.2605,False
SPF / PFC,7,9,0.216,0.3151,0.7915,-0.2607,False
CFC Malta,5,9,0.2157,0.3521,0.4492,-0.261,False
Rio FC,2,3,0.2155,0.2155,0.4043,-0.2612,False
Ichigeki,1,2,0.2153,0.2153,0.3097,-0.2614,False
CDL,1,2,0.2153,0.2153,0.3097,-0.2614,False
FC6,1,2,0.2151,0.2151,0.4619,-0.2616,False
LCS,8,11,0.2146,0.3788,0.4304,-0.2621,False
SFE,1,2,0.2144,0.2144,0.4609,-0.2623,False
WCC,6,9,0.2143,0.3825,0.5541,-0.2624,False
Top,2,4,0.2142,0.2972,0.4965,-0.2625,False
Goat Promotions,3,5,0.2142,0.3508,0.4988,-0.2625,False
IFB,2,3,0.2142,0.4216,0.4376,-0.2625,False
Go FC,3,6,0.2138,0.321,0.5331,-0.2629,False
Anthony Pettis,9,17,0.2137,0.2122,0.5754,-0.263,False
OFC,26,44,0.2137,0.0238,0.4585,-0.263,True
Ring of Fire,2,4,0.2128,0.1855,0.4836,-0.2639,False
HOOKnSHOOT,8,10,0.2116,0.1503,0.4916,-0.2651,False
GFN,4,7,0.2106,0.1635,0.747,-0.2661,False
Nightmare Promotions,2,4,0.2105,0.2222,0.4257,-0.2662,False
Valhalla Fight Night,2,4,0.2104,0.0558,0.5166,-0.2663,False
Souza Combat MV,1,2,0.2103,0.2103,0.8361,-0.2664,False
AFN,7,14,0.2101,0.3075,0.5044,-0.2666,False
Carpathian Warriors,2,4,0.2093,0.0741,0.3931,-0.2674,False
Samurai FC / PFE,1,2,0.2088,0.2088,0.3173,-0.2679,False
GITC,8,11,0.2081,0.175,0.6631,-0.2686,False
Invictus Promotions,1,2,0.2078,0.2078,0.2618,-0.2689,False
Aleksey Raevskiy Promotion,2,3,0.2071,0.3501,0.3802,-0.2696,False
Impacto Fight,1,2,0.2064,0.2064,0.2534,-0.2703,False
TNX,2,3,0.206,0.3124,0.8082,-0.2707,False
CWA / Shinobi FC,9,14,0.205,-0.0401,0.4376,-0.2717,False
Legends of Combat,1,2,0.2044,0.2044,0.4474,-0.2723,False
MFL x PCFC,1,2,0.2043,0.2043,0.6338,-0.2724,False
West Combat,2,4,0.2042,0.2887,0.5095,-0.2725,False
M-1 Selection Ukraine,3,6,0.2038,0.1306,0.4506,-0.2729,False
WOP,1,2,0.2033,0.2033,0.3017,-0.2734,False
FNR,1,2,0.2033,0.2033,0.3017,-0.2734,False
Rio MMA Fight,1,2,0.2028,0.2028,0.4453,-0.2739,False
AMC,2,4,0.2023,0.4068,0.5965,-0.2744,False
Star Elite Cage Fighting,1,2,0.2022,0.2022,0.301,-0.2745,False
Revolution Fighting Champion,1,2,0.2018,0.2018,0.3138,-0.2749,False
ADW,6,11,0.2018,0.1864,0.6071,-0.2749,False
The One Real Combat,1,2,0.2017,0.2017,0.3007,-0.275,False
GMC,63,85,0.2016,0.2099,0.6438,-0.2751,True
Empire Promotions,1,2,0.2011,0.2011,0.3134,-0.2756,False
Cage XFC,3,6,0.2007,-0.1604,0.5403,-0.276,False
Golden Ticket Fight Promotions,17,27,0.2005,0.2512,0.4288,-0.2762,False
FX3,2,4,0.2003,-0.0869,0.3498,-0.2764,False
Emir Fighting Championship,1,2,0.2001,0.2001,0.4416,-0.2766,False
PML,23,37,0.1997,0.1706,0.5344,-0.277,False
OCL,15,21,0.1994,0.1788,0.8096,-0.2773,False
Superfly Promotions,1,2,0.1988,0.1988,0.4293,-0.2779,False
Open Fighting Championship,2,4,0.1988,0.3352,0.4533,-0.2779,False
Extreme Fighter,1,2,0.1988,0.1988,0.4399,-0.2779,False
TKOMMA,2,3,0.1987,0.2144,0.3443,-0.278,False
UF SAGA,2,4,0.1982,0.0509,0.5183,-0.2785,False
MMA Sanda Combat,1,2,0.198,0.198,0.5197,-0.2787,False
XFCI,7,11,0.1978,0.3301,0.3781,-0.2789,False
Arena Tour,6,11,0.1973,0.2632,0.6482,-0.2794,False
HG,26,40,0.1972,0.2965,0.5505,-0.2795,True
CUFF,4,6,0.1965,0.0808,0.571,-0.2802,False
All In Promotions,1,2,0.1962,0.1962,0.4363,-0.2805,False
Luna Productions,2,3,0.1956,0.273,0.8082,-0.2811,False
WFF,14,17,0.1938,0.3875,0.5059,-0.2829,False
Sicario MMA,5,8,0.1929,0.2943,0.4309,-0.2838,False
Saturn & RusFighters,2,3,0.1917,0.3242,0.3594,-0.285,False
FCC,24,41,0.1916,0.1136,0.6282,-0.2851,False
TWC,8,12,0.1915,0.398,0.5791,-0.2852,False
Pro Fighting Cesena / Venator FC,2,4,0.1913,0.1617,0.6325,-0.2854,False
Inka,6,10,0.1912,0.3109,0.5175,-0.2855,False
F21,7,11,0.191,0.2565,0.3983,-0.2857,False
Baikal Fighting Championship,1,2,0.191,0.191,0.2936,-0.2857,False
Buryatia MMA Federation,1,2,0.191,0.191,0.2936,-0.2857,False
Cage Warrior,1,2,0.1907,0.1907,0.4288,-0.286,False
MITC,2,3,0.1907,0.1907,0.6669,-0.286,False
FIKBMS,1,2,0.1907,0.1907,0.4288,-0.286,False
Magnum,1,2,0.1907,0.1907,0.4288,-0.286,False
Extreme Challenge,2,4,0.1906,0.1961,0.9055,-0.2861,False
SAP,1,2,0.1902,0.1902,0.5608,-0.2865,False
M-1 Ukraine,7,11,0.1899,0.0157,0.5696,-0.2868,False
Madtown Throwdown,1,2,0.1893,0.1893,0.883,-0.2874,False
League MMA,1,2,0.1884,0.1884,0.4258,-0.2883,False
Gladiators in the Cage,1,2,0.1884,0.1884,0.4258,-0.2883,False
GIC,1,2,0.1883,0.1883,0.2917,-0.2884,False
FFC,74,112,0.1872,0.1028,0.5175,-0.2895,True
TPF,3,4,0.1872,0.138,0.358,-0.2895,False
Octagon Promotion & U1,1,2,0.1862,0.1862,0.2904,-0.2905,False
K1L,1,2,0.1862,0.1862,0.2904,-0.2905,False
MMA Raju,1,2,0.1855,0.1855,0.2899,-0.2912,False
XCage 8 / PLMMA,1,2,0.1855,0.1855,0.2899,-0.2912,False
Beach Combat Championship,1,2,0.1855,0.1855,0.4218,-0.2912,False
CL,1,2,0.1855,0.1855,0.4218,-0.2912,False
BP Fight Night,1,2,0.1855,0.1855,0.2899,-0.2912,False
OFT,1,2,0.1855,0.1855,0.4218,-0.2912,False
TKOP,1,2,0.1855,0.1855,0.2899,-0.2912,False
United Fight League,4,7,0.1852,0.2425,0.4032,-0.2915,False
ECMMA,2,4,0.1849,-0.0168,0.271,-0.2918,False
Draka,8,12,0.1848,0.3687,0.5415,-0.2919,False
Coliseum FC,2,4,0.1837,0.1855,0.4429,-0.293,False
RFC,44,69,0.1825,0.2042,0.6159,-0.2942,True
Jungle Strike Championship,1,2,0.1817,0.1817,0.3045,-0.295,False
CC,52,69,0.1811,0.1941,0.5543,-0.2956,True
Red City Fights,3,4,0.1811,0.4199,0.4199,-0.2956,False
Arena Combat,6,11,0.1807,0.0872,0.2241,-0.296,False
Heroes,1,2,0.1802,0.1802,0.4146,-0.2965,False
Explosion,1,2,0.1802,0.1802,0.4146,-0.2965,False
360,1,2,0.1802,0.1802,0.4146,-0.2965,False
TFA MMA International,1,2,0.1802,0.1802,0.4146,-0.2965,False
SSF,1,2,0.1802,0.1802,0.4146,-0.2965,False
SFL 2018: Finals,1,2,0.1798,0.1798,0.4141,-0.2969,False
Double-Headed Eagle,1,2,0.1798,0.1798,0.4141,-0.2969,False
King of Kings,1,2,0.1797,0.1797,0.286,-0.297,False
Trogon Fighting Alliance,1,2,0.1792,0.1792,0.2857,-0.2975,False
Saikyo,3,6,0.1792,0.2087,0.4074,-0.2975,False
SMMAS,2,3,0.1786,0.2286,0.7318,-0.2981,False
CCW,2,4,0.1783,0.1563,0.6193,-0.2984,False
Knockout Events,3,5,0.1781,0.1432,0.357,-0.2986,False
Ragnarok,3,4,0.1781,0.4787,0.4787,-0.2986,False
Showcase MMA,1,2,0.1779,0.1779,0.4115,-0.2988,False
50Fifty,1,2,0.1779,0.1779,0.4115,-0.2988,False
ProFC Grand Prix Global,8,12,0.1777,0.0702,0.6315,-0.299,False
Altay Republic MMA League,5,8,0.1776,-0.1534,0.6071,-0.2991,False
Fabriq MMA,19,27,0.1774,0.3218,0.6795,-0.2993,False
Jorge Velho Team,1,2,0.177,0.177,0.4102,-0.2997,False
W-1,3,5,0.1764,0.4141,0.566,-0.3003,False
Cage Survivor,3,6,0.1756,0.1691,0.4087,-0.3011,False
Urijah Faber A1 Combat,2,4,0.1753,0.1603,0.456,-0.3014,False
BoB,1,2,0.1751,0.1751,0.4077,-0.3016,False
FG,9,12,0.175,0.1857,0.5792,-0.3017,False
Lights Out / Bash Entertainment,3,5,0.1749,0.0115,0.0694,-0.3018,False
Guerreiros Vikings,2,3,0.1736,0.2238,0.7236,-0.3031,False
Shooto Italy,5,8,0.1731,0.2678,0.407,-0.3036,False
PCN,1,2,0.1729,0.1729,0.4523,-0.3038,False
CMTA,6,11,0.1724,-0.0912,0.4364,-0.3043,False
JC (Amapa),1,2,0.1718,0.1718,0.2808,-0.3049,False
RMR Productions,1,2,0.1717,0.1717,0.2807,-0.305,False
AF,13,22,0.1705,0.2817,0.3772,-0.3062,False
Made Men Promotions,8,14,0.17,-0.2252,0.4874,-0.3067,False
Tachi Palace Fights,1,2,0.1698,0.1698,0.4006,-0.3069,False
Tough Gym Hamburg,1,2,0.1693,0.1693,0.3998,-0.3074,False
MPX Promotions,3,6,0.1692,0.2693,0.4595,-0.3075,False
PLMMA 68 / 3F,1,2,0.1691,0.1691,0.1895,-0.3076,False
MMA Series,21,31,0.1689,0.2843,0.4469,-0.3078,False
Limo Fight,3,6,0.1675,0.3613,0.4615,-0.3092,False
Smash Global,5,7,0.1673,0.2126,0.2676,-0.3094,False
DC Fighters,2,4,0.1664,0.1276,0.5788,-0.3103,False
GFA,10,15,0.1655,0.0425,0.8025,-0.3112,False
Frozen Fury,1,2,0.1653,0.1653,0.4124,-0.3114,False
Liechtensteiner Fight Night,3,5,0.165,-0.1348,0.7101,-0.3117,False
Fusion,3,5,0.1646,-0.0955,0.2463,-0.3121,False
MTK MMA,3,6,0.163,0.2139,0.3836,-0.3137,False
BYB Extreme,1,2,0.1626,0.1626,0.3828,-0.3141,False
EF,4,6,0.1622,0.2794,0.7625,-0.3145,False
Round,2,4,0.162,0.0275,0.4579,-0.3147,False
M4tC,7,12,0.1608,0.3476,0.4234,-0.3159,False
Enfusion,1,2,0.1606,0.1606,0.2182,-0.3161,False
Superstar Fight,1,2,0.1604,0.1604,0.5182,-0.3163,False
SF Combat,1,2,0.1603,0.1603,0.2731,-0.3164,False
VFS 19 /,1,2,0.1603,0.1603,0.2731,-0.3164,False
Free Fight MMA,1,2,0.1602,0.1602,0.273,-0.3165,False
Hit-FC,3,6,0.1597,0.0374,0.4659,-0.317,False
Grabaka,1,2,0.1594,0.1594,0.3865,-0.3173,False
RSU,1,2,0.159,0.159,0.3859,-0.3177,False
Freedom Fight Night,1,2,0.159,0.159,0.2008,-0.3177,False
Epic Fighting,9,14,0.1582,0.1819,0.4249,-0.3185,False
FTF,3,6,0.1579,0.0249,0.3404,-0.3188,False
Buffalo Combat,1,2,0.1575,0.1575,0.3839,-0.3192,False
CSF,1,2,0.1575,0.1575,0.3839,-0.3192,False
Crajubar Fight,1,2,0.1575,0.1575,0.3839,-0.3192,False
Revolta,1,2,0.1564,0.1564,0.2381,-0.3203,False
Full Fight,6,12,0.156,0.2532,0.6363,-0.3207,False
SEFC,1,2,0.1558,0.1558,0.3816,-0.3209,False
Prokopyevsk Challenge,1,2,0.1556,0.1556,0.3814,-0.3211,False
MMA Bushido / King of Kings,3,5,0.1556,0.2673,0.5189,-0.3211,False
Russia Top Team,1,2,0.1556,0.1556,0.3814,-0.3211,False
Eurasian Fighting Championship,2,4,0.1555,0.2207,0.5451,-0.3212,False
SFN,4,8,0.1554,0.3797,0.706,-0.3213,False
FMMMA,1,2,0.155,0.155,0.4457,-0.3217,False
COF,17,25,0.1541,0.0268,0.5099,-0.3226,False
WTKF,4,6,0.154,0.0214,0.7181,-0.3227,False
MGFN,3,5,0.1529,-0.2169,0.3977,-0.3238,False
WXCF,1,2,0.1527,0.1527,0.3775,-0.324,False
CFN,9,17,0.1526,-0.1715,0.6766,-0.3241,False
Spartan MMA,2,3,0.1525,0.2292,0.7329,-0.3242,False
DCS,75,74,0.1522,0.2254,0.4021,-0.3245,True
GOW,3,6,0.152,0.2288,0.3869,-0.3247,False
24/7 Entertainment,2,4,0.1519,-0.077,0.4718,-0.3248,False
UCMMA,60,69,0.1512,0.1026,0.9154,-0.3255,True
UMMA,3,6,0.1506,0.0929,0.4074,-0.3261,False
MASS,2,3,0.1505,0.1505,0.5983,-0.3262,False
OFP,1,2,0.1499,0.1499,0.3736,-0.3268,False
MCFC,1,2,0.1499,0.1499,0.3736,-0.3268,False
Sparta MMA Club,1,2,0.1497,0.1497,0.2661,-0.327,False
Venator FC,1,2,0.1496,0.1496,0.3733,-0.3271,False
King of the Ring,1,2,0.1496,0.1496,0.3733,-0.3271,False
Blaze,1,2,0.1496,0.1496,0.3733,-0.3271,False
WTKA Italy,1,2,0.1496,0.1496,0.3733,-0.3271,False
OPP Presents,1,2,0.1485,0.1485,0.1495,-0.3282,False
Island Fighters League,1,2,0.1484,0.1484,0.2652,-0.3283,False
One Pride MMA Fight Night,1,2,0.1484,0.1484,0.2652,-0.3283,False
Zeus Fight Night,1,2,0.1484,0.1484,0.2652,-0.3283,False
Khan Fight,3,6,0.1484,0.0706,0.4083,-0.3283,False
Pure,7,10,0.1482,0.1538,0.6022,-0.3285,False
VMAU,2,4,0.1474,0.2135,0.7175,-0.3293,False
PCF,22,32,0.1468,0.2381,0.5237,-0.3299,False
AGM,2,4,0.1465,0.1565,0.4481,-0.3302,False
Triple X Cagefighting,2,3,0.1464,0.1464,0.5913,-0.3303,False
MFP,9,17,0.1453,0.2763,0.3983,-0.3314,False
MCF,15,24,0.1444,0.2247,0.4304,-0.3323,False
FGC,7,13,0.1443,0.241,0.5347,-0.3324,False
BCC,1,2,0.1441,0.1441,0.1821,-0.3326,False
Home Fight Championship,9,12,0.1438,-0.2648,0.7915,-0.3329,False
Gladiator,3,4,0.1438,0.3574,0.3574,-0.3329,False
Fightsport Matchmaking / M Sports,1,2,0.1434,0.1434,0.3648,-0.3333,False
BoW,1,2,0.1434,0.1434,0.3648,-0.3333,False
WFL MMA,2,3,0.1434,0.1434,0.5862,-0.3333,False
Cage,24,34,0.1431,0.1957,0.3646,-0.3336,False
Coalition of Combat,2,4,0.1425,0.0351,0.5225,-0.3342,False
HOP,1,2,0.1421,0.1421,0.3631,-0.3346,False
Head to Head,1,2,0.1421,0.1421,0.3631,-0.3346,False
Shamrock FC,19,24,0.142,-0.1418,0.64,-0.3347,False
The Golden Cage,2,4,0.1416,0.294,0.3214,-0.3351,False
PFC,52,89,0.1415,0.1021,0.6547,-0.3352,True
Cage Fight,3,5,0.1414,0.1322,0.3535,-0.3353,False
SCI,1,2,0.1411,0.1411,0.306,-0.3356,False
Szombathely,2,4,0.1402,0.2658,0.4658,-0.3365,False
SCC,5,10,0.1401,0.2702,0.42,-0.3366,False
K2S Combat,1,2,0.14,0.14,0.3603,-0.3367,False
Eagles FC,3,4,0.1398,0.3495,0.3495,-0.3369,False
Italian Cage,3,6,0.1396,0.0085,0.5146,-0.3371,False
B2 Fighting Series,19,33,0.1393,0.1654,0.6067,-0.3374,False
Wawan,3,5,0.1391,0.013,0.7023,-0.3376,False
Nightmare FC,5,9,0.1388,0.0692,0.5974,-0.3379,False
X-1,13,18,0.1386,0.2495,0.5756,-0.3381,False
Muay Thai Mayhem,1,2,0.1384,0.1384,0.2585,-0.3383,False
Punch Up Promotions,4,6,0.138,0.3943,0.415,-0.3387,False
CFL,9,15,0.1379,-0.0342,0.7088,-0.3388,False
UF,3,6,0.1378,0.0274,0.2758,-0.3389,False
ArmFC,6,7,0.1377,0.1377,0.5765,-0.339,False
Copa Predadores,1,2,0.1374,0.1374,0.3568,-0.3393,False
K-1 HERO's,1,2,0.1374,0.1374,0.3568,-0.3393,False
Alvorada Fight Combat,1,2,0.1374,0.1374,0.3568,-0.3393,False
Furio Fighter,1,2,0.1374,0.1374,0.3568,-0.3393,False
Marau Combat,1,2,0.1374,0.1374,0.3568,-0.3393,False
BvtW,2,3,0.1374,0.1374,0.5761,-0.3393,False
Fury FC,5,10,0.137,-0.1047,0.5522,-0.3397,False
PureCombat,2,4,0.1367,0.2771,0.577,-0.34,False
PLMMA 8 / Prime,1,2,0.1366,0.1366,0.4342,-0.3401,False
MF,33,51,0.1365,0.1261,0.4284,-0.3402,True
Wieczor Walk,2,4,0.1363,0.1115,0.207,-0.3404,False
TFN,14,21,0.1359,0.1526,0.5485,-0.3408,False
Abadan FC,6,9,0.1359,-0.0511,0.9815,-0.3408,False
IE Fight Night,3,5,0.1357,0.1634,0.4487,-0.341,False
CIMMA,2,3,0.135,0.2297,0.2837,-0.3417,False
Fighting Force,2,4,0.1346,0.1921,0.4481,-0.3421,False
Superior,5,8,0.1343,0.0975,0.3836,-0.3424,False
V3 Fights,5,8,0.1337,0.1587,0.431,-0.343,False
Champions Challenging Champions,1,2,0.1336,0.1336,0.2554,-0.3431,False
SF,28,45,0.1329,0.1363,0.507,-0.3438,True
OEF,3,5,0.1323,0.1055,0.4856,-0.3444,False
DFN,8,15,0.1322,0.1452,0.4508,-0.3445,False
PXC,1,2,0.1315,0.1315,0.3487,-0.3452,False
YFN,1,2,0.131,0.131,0.3853,-0.3457,False
Big Shot Fight,3,5,0.131,0.164,0.3408,-0.3457,False
Red Thunder Promotions,1,2,0.1303,0.1303,0.3471,-0.3464,False
