event_uid,event_name,event_date,snapshot_kind,requested_snapshot,actual_snapshot,event_start_utc,api_event_id,commence_time,fighter_a,fighter_b,book_key,book_title,book_last_update,market_last_update,odds_a,odds_b,response_sha256
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,betmgm,BetMGM,2022-01-11T23:47:56Z,2022-01-11T23:47:56Z,140,-164,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,unibet,Unibet,2022-01-11T23:43:54Z,2022-01-11T23:43:54Z,140,-175,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,bovada,Bovada,2022-01-11T23:46:38Z,2022-01-11T23:46:38Z,140,-169,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,betonlineag,BetOnline.ag,2022-01-11T23:46:07Z,2022-01-11T23:46:07Z,-125,104,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,lowvig,LowVig.ag,2022-01-11T23:46:25Z,2022-01-11T23:46:25Z,-125,105,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,williamhill_us,William Hill (US),2022-01-11T23:46:50Z,2022-01-11T23:46:50Z,-125,105,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,wynnbet,WynnBET,2022-01-11T23:46:52Z,2022-01-11T23:46:52Z,-130,110,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,fanduel,FanDuel,2022-01-11T23:46:48Z,2022-01-11T23:46:48Z,-133,110,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,betmgm,BetMGM,2022-01-11T23:47:56Z,2022-01-11T23:47:56Z,-125,105,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,7f40e6524f521587d5c2d224a73ac051,2022-01-16T00:45:00Z,Jake Collier,Chase Sherman,betfair,Betfair,2022-01-11T23:48:09Z,2022-01-11T23:48:09Z,-116,114,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
